token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
73733,22000.0,2026-05-05,80.0,78.35,79.7,1.35,27170,25220,26.63,-0.0822,0.0001,-4.0029,9.9184
73960,22500.0,2026-05-05,120.45,113.4,116.0,2.6,8645,7085,24.61,-0.1457,0.0001,-5.8796,14.9459
73992,22700.0,2026-05-05,144.05,134.15,137.7,3.55,1300,4420,23.87,-0.1786,0.0002,-6.625,17.0608
74020,22800.0,2026-05-05,161.0,146.15,149.8,3.65,6045,5265,23.43,-0.2007,0.0002,-7.0487,18.3118
74079,23000.0,2026-05-05,186.95,178.55,181.85,3.3,38090,24115,22.71,-0.2346,0.0002,-7.6152,20.0511
74092,23200.0,2026-05-05,213.45,207.55,210.4,2.85,2535,2340,21.88,-0.2697,0.0002,-8.0867,21.6088
74100,23400.0,2026-05-05,270.0,247.7,250.85,3.15,3705,2795,21.21,-0.3234,0.0002,-8.5554,23.4474
74104,23500.0,2026-05-05,279.85,272.05,274.95,2.9,12740,5785,20.67,-0.3389,0.0002,-8.665,23.9136
74108,23600.0,2026-05-05,308.2,297.45,300.45,3.0,5265,4810,20.51,-0.3604,0.0002,-8.7653,24.4652
74128,23750.0,2026-05-05,354.65,338.9,343.3,4.4,7020,6630,20.0,-0.3973,0.0002,-8.8464,25.2013
74130,23800.0,2026-05-05,359.85,355.3,360.3,5.0,6500,4030,19.66,-0.4054,0.0002,-8.8567,25.3488
74134,23900.0,2026-05-05,390.1,388.6,393.5,4.9,8645,6695,19.38,-0.4268,0.0002,-8.846,25.6565
74168,24200.0,2026-05-05,512.6,507.45,513.4,5.95,4030,3835,18.61,-0.5032,0.0002,-8.4981,26.0798
74172,24300.0,2026-05-05,571.4,558.6,562.1,3.5,7085,5135,18.43,-0.5275,0.0002,-8.2955,26.0179
