token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
63392,23400.0,2026-04-21,219.65,221.25,223.1,1.85,17810,22685,25.89,0.2914,0.0003,-14.7989,15.8228
63394,23450.0,2026-04-21,203.55,204.6,207.1,2.5,6175,11245,25.65,0.2785,0.0003,-14.4464,15.4879
63396,23500.0,2026-04-21,190.9,189.45,190.5,1.05,132990,104845,25.49,0.2668,0.0003,-14.1116,15.1649
63400,23600.0,2026-04-21,161.25,161.1,162.55,1.45,13455,13650,25.23,0.2388,0.0003,-13.2308,14.3007
63404,23700.0,2026-04-21,136.0,134.3,135.65,1.35,14690,26130,24.81,0.2158,0.0003,-12.4439,13.5115
63408,23800.0,2026-04-21,111.75,112.4,114.2,1.8,35880,32045,24.58,0.1889,0.0002,-11.4233,12.4708
63412,23900.0,2026-04-21,92.75,93.0,94.2,1.2,13585,14040,24.17,0.1697,0.0002,-10.6409,11.6604
63416,24000.0,2026-04-21,76.65,75.9,76.65,0.75,277095,208195,23.88,0.1511,0.0002,-9.8298,10.8117
63420,24050.0,2026-04-21,66.6,69.3,71.45,2.15,6045,7345,23.93,0.1352,0.0002,-9.0752,10.0213
63422,24100.0,2026-04-21,63.5,62.6,63.75,1.15,5005,8970,24.57,0.1311,0.0002,-8.8861,9.8141
63424,24150.0,2026-04-21,54.1,56.45,58.25,1.8,5070,6240,24.1,0.113,0.0002,-7.9482,8.8246
63426,24200.0,2026-04-21,49.0,51.1,51.9,0.8,36595,41730,23.51,0.1124,0.0002,-7.9396,8.8042
