token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
72340,25500.0,2026-05-26,97.4,97.0,97.5,0.5,601705,673205,15.05,0.2758,0.0002,-9.2803,28.4983
72363,25700.0,2026-05-26,71.95,71.15,73.15,2.0,25090,28080,14.98,0.2474,0.0001,-8.6982,26.9558
72373,25800.0,2026-05-26,64.0,60.15,63.95,3.8,43225,40755,15.14,0.2334,0.0001,-8.3868,26.1072
72381,26000.0,2026-05-26,47.8,47.65,48.7,1.05,833235,914875,15.15,0.2084,0.0001,-7.7998,24.472
72579,26500.0,2026-05-26,26.8,26.65,26.8,0.15,226915,266045,15.86,0.1526,0.0001,-6.2983,20.1131
72601,26700.0,2026-05-26,23.3,22.25,23.5,1.25,8645,28990,16.29,0.1358,0.0001,-5.7956,18.6095
72605,26800.0,2026-05-26,21.25,20.75,22.5,1.75,18590,21970,16.47,0.1272,0.0001,-5.5234,17.7862
72607,26850.0,2026-05-26,21.0,19.0,22.5,3.5,130,2730,16.33,0.1289,0.0001,-5.5845,18.03
72615,26900.0,2026-05-26,20.65,19.05,20.0,0.95,8320,9100,17.01,0.1158,0.0001,-5.1435,16.6424
72619,27000.0,2026-05-26,19.5,18.55,19.5,0.95,506740,575250,17.25,0.1089,0.0001,-4.913,15.9184
72621,27050.0,2026-05-26,17.1,15.7,19.5,3.8,195,2080,17.09,0.1049,0.0001,-4.7733,15.5037
72623,27100.0,2026-05-26,17.55,17.6,19.25,1.65,8060,13065,17.31,0.1025,0.0001,-4.6968,15.2526
72625,27150.0,2026-05-26,16.75,15.25,19.0,3.75,455,3835,17.35,0.0997,0.0001,-4.5996,14.9545
72627,27200.0,2026-05-26,17.0,16.5,17.0,0.5,10010,31915,17.63,0.0959,0.0001,-4.4645,14.5321
72629,27250.0,2026-05-26,16.5,15.55,17.1,1.55,13975,27625,17.86,0.0909,0.0001,-4.2782,13.9506
