token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
71948,21950.0,2026-04-28,51.7,50.95,51.65,0.7,31980,13000,27.86,-0.0526,0.0001,-3.395,6.0563
71950,22000.0,2026-04-28,54.1,54.0,54.15,0.15,3835975,3157960,27.61,-0.057,0.0001,-3.6103,6.4519
71952,22050.0,2026-04-28,56.35,55.5,56.25,0.75,41535,33670,27.28,-0.0624,0.0001,-3.8644,6.9213
71954,22100.0,2026-04-28,58.5,58.4,58.75,0.35,292175,169390,27.11,-0.0662,0.0001,-4.0432,7.2517
71956,22150.0,2026-04-28,60.8,60.65,61.4,0.75,31265,21970,26.82,-0.0725,0.0001,-4.322,7.7707
71958,22200.0,2026-04-28,63.8,63.75,64.1,0.35,697190,414310,26.63,-0.0768,0.0001,-4.5115,8.1236
71960,22250.0,2026-04-28,66.75,66.4,67.2,0.8,96590,65065,26.34,-0.083,0.0001,-4.7721,8.6124
71962,22300.0,2026-04-28,69.85,69.7,69.9,0.2,520390,380510,26.16,-0.0885,0.0001,-5.0003,9.0418
71964,22350.0,2026-04-28,73.65,72.7,73.2,0.5,46020,38675,25.82,-0.0966,0.0001,-5.3153,9.6392
71966,22400.0,2026-04-28,76.4,76.4,76.7,0.3,353080,530660,25.71,-0.1013,0.0001,-5.4987,9.9871
71968,22450.0,2026-04-28,82.25,79.85,80.75,0.9,34125,22035,25.36,-0.112,0.0001,-5.8843,10.7275
72066,22500.0,2026-04-28,84.3,84.0,84.3,0.3,3079505,3218540,25.26,-0.1151,0.0001,-6.0018,10.9517
72159,22550.0,2026-04-28,87.8,87.4,88.6,1.2,60580,53170,25.03,-0.1223,0.0001,-6.2504,11.4327
72161,22600.0,2026-04-28,92.35,92.05,92.4,0.35,437190,416845,24.78,-0.1305,0.0002,-6.5211,11.9597
72164,22650.0,2026-04-28,97.5,96.85,97.5,0.65,66690,109395,24.57,-0.1388,0.0002,-6.7837,12.4752
72196,22700.0,2026-04-28,101.75,101.6,101.95,0.35,531310,630565,24.34,-0.1472,0.0002,-7.038,12.978
72198,22750.0,2026-04-28,106.25,106.65,107.0,0.35,116935,184470,24.13,-0.1558,0.0002,-7.2886,13.4776
72200,22800.0,2026-04-28,112.45,112.15,112.65,0.5,949845,1307345,23.95,-0.1649,0.0002,-7.5438,13.9907
72202,22850.0,2026-04-28,118.0,117.75,118.4,0.65,66495,325975,23.69,-0.1743,0.0002,-7.7932,14.4974
72204,22900.0,2026-04-28,123.4,123.8,124.35,0.55,526760,508495,23.48,-0.1841,0.0002,-8.0387,15.0015
72206,22950.0,2026-04-28,130.3,130.15,131.5,1.35,92625,58955,23.27,-0.1949,0.0002,-8.2956,15.5359
72208,23000.0,2026-04-28,137.25,137.45,137.9,0.45,5029895,4820530,23.13,-0.2045,0.0002,-8.5142,15.996
72211,23050.0,2026-04-28,144.8,144.35,145.6,1.25,74295,202540,22.92,-0.2156,0.0002,-8.7487,16.4971
