token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
73749,22250.0,2026-05-05,37.9,37.95,38.65,0.7,9620,6565,25.39,-0.057,0.0001,-3.6629,6.4955
73960,22500.0,2026-05-05,51.45,51.2,51.5,0.3,149110,90415,24.63,-0.0826,0.0001,-4.8305,8.6486
73992,22700.0,2026-05-05,63.1,63.0,63.45,0.45,51350,30225,23.73,-0.1085,0.0001,-5.8518,10.5721
74000,22750.0,2026-05-05,68.35,67.05,67.65,0.6,11570,5525,23.69,-0.1159,0.0001,-6.1165,11.0807
74020,22800.0,2026-05-05,71.4,70.7,71.25,0.55,29055,14040,23.37,-0.1227,0.0001,-6.3568,11.5373
74073,22900.0,2026-05-05,79.55,79.5,79.9,0.4,23465,12025,23.06,-0.1389,0.0002,-6.8897,12.5719
74079,23000.0,2026-05-05,89.55,89.65,90.15,0.5,260845,114465,22.81,-0.1548,0.0002,-7.3728,13.5222
74082,23050.0,2026-05-05,94.0,93.6,94.3,0.7,13390,9165,22.53,-0.1645,0.0002,-7.6456,14.0653
74088,23100.0,2026-05-05,99.5,99.1,99.95,0.85,26325,13715,22.47,-0.1741,0.0002,-7.9039,14.5943
74090,23150.0,2026-05-05,106.2,104.65,105.7,1.05,4420,4160,22.17,-0.1845,0.0002,-8.1677,15.1315
74092,23200.0,2026-05-05,112.95,110.95,111.85,0.9,25610,17615,21.93,-0.1961,0.0002,-8.447,15.7026
74094,23250.0,2026-05-05,119.0,117.4,118.4,1.0,2015,3055,21.85,-0.2043,0.0002,-8.6335,16.1023
74096,23300.0,2026-05-05,126.0,124.45,125.4,0.95,20020,13130,21.57,-0.2166,0.0002,-8.899,16.6546
74098,23350.0,2026-05-05,135.0,130.9,132.75,1.85,2210,2925,21.6,-0.2257,0.0002,-9.0844,17.0616
74100,23400.0,2026-05-05,141.7,139.7,140.7,1.0,40950,16900,21.36,-0.2367,0.0002,-9.2949,17.5184
74102,23450.0,2026-05-05,159.75,146.65,150.45,3.8,3185,2210,21.32,-0.2557,0.0002,-9.6014,18.2518
74104,23500.0,2026-05-05,157.0,156.05,156.9,0.85,167180,67600,20.92,-0.2597,0.0002,-9.6923,18.406
74106,23550.0,2026-05-05,169.5,165.45,167.15,1.7,2990,2860,20.89,-0.2724,0.0002,-9.8791,18.8594
74108,23600.0,2026-05-05,177.8,174.9,176.2,1.3,28210,16965,20.54,-0.2862,0.0002,-10.0691,19.3077
74110,23650.0,2026-05-05,189.95,185.55,188.45,2.9,6825,5200,20.57,-0.2967,0.0002,-10.199,19.6468
74122,23700.0,2026-05-05,201.0,196.15,198.6,2.45,49595,24895,20.37,-0.3098,0.0002,-10.3457,20.0301
74130,23800.0,2026-05-05,222.0,220.05,221.55,1.5,45370,21710,19.96,-0.3345,0.0003,-10.5833,20.6719
74134,23900.0,2026-05-05,250.0,246.75,248.75,2.0,34905,23270,19.78,-0.3598,0.0003,-10.7579,21.2428
74154,24000.0,2026-05-05,279.55,278.05,279.55,1.5,169715,204230,19.46,-0.3879,0.0003,-10.8802,21.7505
74156,24050.0,2026-05-05,294.55,290.8,294.05,3.25,2210,5330,19.18,-0.4019,0.0003,-10.913,21.9608
74164,24100.0,2026-05-05,310.0,309.1,310.8,1.7,39260,24375,19.09,-0.4138,0.0003,-10.93,22.1247
