token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
41864,25350.0,2026-05-12,73.3,73.2,75.05,1.85,845,780,13.84,0.2992,0.0002,-12.9114,22.111
41866,25400.0,2026-05-12,67.65,65.85,67.5,1.65,2275,3445,13.55,0.2975,0.0002,-12.9103,22.06
41870,25450.0,2026-05-12,57.9,58.15,59.6,1.45,1495,780,13.8,0.2772,0.0002,-12.3797,21.3188
41880,25500.0,2026-05-12,52.6,51.6,52.25,0.65,54275,57655,13.42,0.2768,0.0002,-12.4123,21.3171
41888,25600.0,2026-05-12,40.3,40.45,41.7,1.25,10335,3185,13.31,0.2566,0.0002,-11.8799,20.5196
41904,25800.0,2026-05-12,27.9,26.35,27.55,1.2,650,2730,13.65,0.2204,0.0002,-10.8363,18.8755
41922,25900.0,2026-05-12,21.7,20.6,21.9,1.3,1170,1170,13.62,0.2038,0.0002,-10.306,18.0344
41924,25950.0,2026-05-12,20.3,19.15,20.5,1.35,130,1885,13.86,0.1937,0.0002,-9.9385,17.5354
41926,26000.0,2026-05-12,19.0,19.0,19.25,0.25,32695,56290,13.85,0.1889,0.0002,-9.8125,17.2259
41930,26100.0,2026-05-12,16.0,13.7,16.05,2.35,4745,4615,14.19,0.1718,0.0002,-9.202,16.2214
41937,26200.0,2026-05-12,13.6,12.05,15.0,2.95,65,1430,15.03,0.1448,0.0001,-8.1081,14.5059
41944,26250.0,2026-05-12,12.8,11.65,12.8,1.15,780,12025,14.63,0.1497,0.0001,-8.3609,14.8354
41956,26300.0,2026-05-12,10.8,11.75,13.8,2.05,130,1235,14.72,0.139,0.0001,-7.9127,14.1019
41962,26450.0,2026-05-12,10.4,7.5,9.65,2.15,260,715,15.62,0.1195,0.0001,-7.0765,12.7143
41974,26500.0,2026-05-12,7.1,6.65,7.35,0.7,7475,5200,14.66,0.1205,0.0001,-7.157,12.7817
41979,26550.0,2026-05-12,7.4,7.2,7.9,0.7,3120,3770,15.1,0.1138,0.0001,-6.857,12.2666
