[E 260415 03:40:29 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '57:7e:ed:15:da:55', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '05MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260415 03:40:29 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '57:7e:ed:15:da:55', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '12MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260415 03:40:30 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '57:7e:ed:15:da:55', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '19MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260415 03:40:31 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '57:7e:ed:15:da:55', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '26MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260415 03:40:32 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '57:7e:ed:15:da:55', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '12MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260415 03:40:33 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '57:7e:ed:15:da:55', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '19MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260415 03:40:34 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '57:7e:ed:15:da:55', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '26MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260415 04:30:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '57:7e:ed:15:da:55', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '19MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260415 04:30:20 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '57:7e:ed:15:da:55', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '19MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260415 04:30:30 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '57:7e:ed:15:da:55', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '19MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
[E 260415 04:30:56 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: No Data Available. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '57:7e:ed:15:da:55', 'Accept': 'application/json', 'X-PrivateKey': 'JQNXbV7u', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '19MAY2026'}, Response: {'status': False, 'message': 'No Data Available', 'errorcode': 'AB9019', 'data': None}
